LOC_ID	RIL
Chr1_174497	A123-0_1
Chr1_214352	A123-0_1
Chr1_316534	A123-0_1
Chr1_1193504	A123-0_1
Chr1_1867482	A123-0_1
Chr1_2119030	A123-0_1
Chr1_4414780	A123-0_1
Chr1_5120693	A123-0_1
Chr1_5623713	A123-0_1
Chr1_5709001	A123-0_1
Chr1_6057238	A123-0_1
Chr1_6432233	A123-0_1
Chr1_8326624	A123-0_1
Chr1_8667985	A123-0_1
Chr1_8698445	A123-0_1
Chr1_15512723	A123-0_1
Chr1_16327643	A123-0_1
Chr1_20599334	A123-0_1
Chr1_21174656	A123-0_1
Chr1_21556918	A123-0_1
Chr1_21565699	A123-0_1
Chr1_23345273	A123-0_1
Chr1_24082897	A123-0_1
Chr1_24181479	A123-0_1
Chr1_24252949	A123-0_1
Chr1_25086304	A123-0_1
Chr1_25280980	A123-0_1
Chr1_25281770	A123-0_1
Chr1_25866208	A123-0_1
Chr1_26106793	A123-0_1
Chr1_26205753	A123-0_1
Chr1_27292707	A123-0_1
Chr1_28161487	A123-0_1
Chr1_28490064	A123-0_1
Chr1_29931361	A123-0_1
Chr1_29935735	A123-0_1
Chr1_30235962	A123-0_1
Chr1_31412431	A123-0_1
Chr1_31877585	A123-0_1
Chr1_32658454	A123-0_1
Chr1_33282256	A123-0_1
Chr1_33766058	A123-0_1
Chr1_35200488	A123-0_1
Chr1_35488880	A123-0_1
Chr1_35936947	A123-0_1
Chr1_36428441	A123-0_1
Chr1_36796589	A123-0_1
Chr1_38092037	A123-0_1
Chr1_38092618	A123-0_1
Chr1_39152890	A123-0_1
Chr1_39428259	A123-0_1
Chr1_39666830	A123-0_1
Chr1_39899559	A123-0_1
Chr1_39904179	A123-0_1
Chr1_40702080	A123-0_1
Chr1_42038821	A123-0_1
Chr1_42320293	A123-0_1
Chr1_42365748	A123-0_1
Chr2_458589	A123-0_1
Chr2_681903	A123-0_1
Chr2_2831106	A123-0_1
Chr2_2834012	A123-0_1
Chr2_2883907	A123-0_1
Chr2_3502593	A123-0_1
Chr2_3639033	A123-0_1
Chr2_3991330	A123-0_1
Chr2_4119847	A123-0_1
Chr2_4243727	A123-0_1
Chr2_4338129	A123-0_1
Chr2_4644590	A123-0_1
Chr2_6664414	A123-0_1
Chr2_7838214	A123-0_1
Chr2_9418869	A123-0_1
Chr2_9438879	A123-0_1
Chr2_9640960	A123-0_1
Chr2_10202907	A123-0_1
Chr2_11041881	A123-0_1
Chr2_12298995	A123-0_1
Chr2_13202373	A123-0_1
Chr2_14819923	A123-0_1
Chr2_15709146	A123-0_1
Chr2_16222087	A123-0_1
Chr2_16678146	A123-0_1
Chr2_16986965	A123-0_1
Chr2_17969908	A123-0_1
Chr2_18251855	A123-0_1
Chr2_18266144	A123-0_1
Chr2_18302508	A123-0_1
Chr2_18458308	A123-0_1
Chr2_18464452	A123-0_1
Chr2_23175181	A123-0_1
Chr2_23819509	A123-0_1
Chr2_24157147	A123-0_1
Chr2_24264668	A123-0_1
Chr2_25760794	A123-0_1
Chr2_26207952	A123-0_1
Chr2_27148056	A123-0_1
Chr2_27201254	A123-0_1
Chr2_28383043	A123-0_1
Chr2_28948533	A123-0_1
Chr2_29990405	A123-0_1
Chr2_30089816	A123-0_1
Chr2_30375297	A123-0_1
Chr2_30902244	A123-0_1
Chr2_30923597	A123-0_1
Chr2_31053561	A123-0_1
Chr2_31158664	A123-0_1
Chr2_31670396	A123-0_1
Chr2_31672501	A123-0_1
Chr2_32571629	A123-0_1
Chr2_32572074	A123-0_1
Chr2_33884289	A123-0_1
Chr2_34576206	A123-0_1
Chr2_35230683	A123-0_1
Chr2_35353667	A123-0_1
Chr2_35711681	A123-0_1
Chr3_132031	A123-0_1
Chr3_1113084	A123-0_1
Chr3_1246188	A123-0_1
Chr3_1298988	A123-0_1
Chr3_1429393	A123-0_1
Chr3_1840658	A123-0_1
Chr3_2737673	A123-0_1
Chr3_3390556	A123-0_1
Chr3_3469507	A123-0_1
Chr3_3558661	A123-0_1
Chr3_4033197	A123-0_1
Chr3_4094373	A123-0_1
Chr3_4820855	A123-0_1
Chr3_5987927	A123-0_1
Chr3_6139873	A123-0_1
Chr3_6227232	A123-0_1
Chr3_6861349	A123-0_1
Chr3_8558948	A123-0_1
Chr3_8760868	A123-0_1
Chr3_9946170	A123-0_1
Chr3_10592386	A123-0_1
Chr3_10676838	A123-0_1
Chr3_11281617	A123-0_1
Chr3_11331348	A123-0_1
Chr3_12046613	A123-0_1
Chr3_12158053	A123-0_1
Chr3_12571104	A123-0_1
Chr3_13282282	A123-0_1
Chr3_14620264	A123-0_1
Chr3_16846775	A123-0_1
Chr3_17269649	A123-0_1
Chr3_18117564	A123-0_1
Chr3_19174833	A123-0_1
Chr3_20971983	A123-0_1
Chr3_22203353	A123-0_1
Chr3_24203921	A123-0_1
Chr3_24753651	A123-0_1
Chr3_25086368	A123-0_1
Chr3_26262315	A123-0_1
Chr3_26688130	A123-0_1
Chr3_26846761	A123-0_1
Chr3_28470308	A123-0_1
Chr3_28519793	A123-0_1
Chr3_28577817	A123-0_1
Chr3_28836745	A123-0_1
Chr3_29239284	A123-0_1
Chr3_29574402	A123-0_1
Chr3_29779175	A123-0_1
Chr3_30058248	A123-0_1
Chr3_30489355	A123-0_1
Chr3_30613089	A123-0_1
Chr3_31848096	A123-0_1
Chr3_32007444	A123-0_1
Chr3_32923406	A123-0_1
Chr3_33130124	A123-0_1
Chr3_34212513	A123-0_1
Chr3_34459499	A123-0_1
Chr3_35141440	A123-0_1
Chr4_8639819	A123-0_1
Chr4_9332085	A123-0_1
Chr4_9562247	A123-0_1
Chr4_14006528	A123-0_1
Chr4_14327561	A123-0_1
Chr4_18718159	A123-0_1
Chr4_19345313	A123-0_1
Chr4_19915922	A123-0_1
Chr4_19988150	A123-0_1
Chr4_20639001	A123-0_1
Chr4_20701301	A123-0_1
Chr4_20906353	A123-0_1
Chr4_21249875	A123-0_1
Chr4_22423569	A123-0_1
Chr4_22880497	A123-0_1
Chr4_22883629	A123-0_1
Chr4_23006034	A123-0_1
Chr4_23475677	A123-0_1
Chr4_24925072	A123-0_1
Chr4_25028693	A123-0_1
Chr4_25731832	A123-0_1
Chr4_26226544	A123-0_1
Chr4_26390442	A123-0_1
Chr4_26423865	A123-0_1
Chr4_26750944	A123-0_1
Chr4_27011581	A123-0_1
Chr4_27056953	A123-0_1
Chr4_27129771	A123-0_1
Chr4_27376604	A123-0_1
Chr4_27782487	A123-0_1
Chr4_27882541	A123-0_1
Chr4_28059607	A123-0_1
Chr4_28083323	A123-0_1
Chr4_28148000	A123-0_1
Chr4_28749936	A123-0_1
Chr4_28828615	A123-0_1
Chr4_29357077	A123-0_1
Chr4_29593703	A123-0_1
Chr4_29593844	A123-0_1
Chr4_30177169	A123-0_1
Chr4_31426319	A123-0_1
Chr4_31930920	A123-0_1
Chr4_32885739	A123-0_1
Chr4_33800276	A123-0_1
Chr4_34225549	A123-0_1
Chr4_34623829	A123-0_1
Chr4_34687258	A123-0_1
Chr4_34746362	A123-0_1
Chr4_34928351	A123-0_1
Chr4_35422283	A123-0_1
Chr5_171252	A123-0_1
Chr5_334871	A123-0_1
Chr5_898444	A123-0_1
Chr5_2162851	A123-0_1
Chr5_5878602	A123-0_1
Chr5_6205185	A123-0_1
Chr5_6663444	A123-0_1
Chr5_7250281	A123-0_1
Chr5_10723804	A123-0_1
